#FRAME_ID, X, Y, Z
469.000 4.803 -0.046 -1.107
470.000 4.827 -0.048 -1.120
471.000 4.850 -0.051 -1.122
472.000 4.868 -0.043 -1.135
473.000 4.883 -0.040 -1.132
474.000 4.906 -0.048 -1.147
475.000 4.930 -0.044 -1.152
475.000 4.930 -0.042 -1.152
479.000 5.019 -0.042 -1.187
480.000 5.035 -0.045 -1.184
480.000 5.034 -0.036 -1.186
486.000 5.173 -0.038 -1.233
481.000 5.059 -0.044 -1.195
482.000 5.084 -0.040 -1.202
482.000 5.084 -0.041 -1.204
483.000 5.106 -0.041 -1.212
484.000 5.131 -0.042 -1.215
484.000 5.129 -0.042 -1.224
485.000 5.155 -0.039 -1.227
485.000 5.154 -0.040 -1.229
6.000 -5.952 0.174 0.525
486.000 5.173 -0.036 -1.234
489.000 5.235 -0.036 -1.255
490.000 5.260 -0.041 -1.262
491.000 5.284 -0.034 -1.276
491.000 5.283 -0.035 -1.276
492.000 5.307 -0.038 -1.279
493.000 5.325 -0.029 -1.292
493.000 5.326 -0.030 -1.290
494.000 5.342 -0.031 -1.291
495.000 5.364 -0.037 -1.295
496.000 5.388 -0.030 -1.300
497.000 5.411 -0.037 -1.311
501.000 5.491 -0.037 -1.336
502.000 5.514 -0.030 -1.343
7.000 -5.924 0.174 0.532
5.000 -5.977 0.170 0.532
3.000 -6.029 0.181 0.523
2.000 -6.043 0.176 0.529
